"URN","Alignment","Text-Deformation1","Analysis"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.2.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΜΝΗ[1]","μνή","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.3.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΜΑΙ[1]","μαι","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.3.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΣΙΝ[1]","σιν","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.3.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@Ο[1]","Ὀ","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.4.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΛΥΝ[1]","λύν","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.4.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΠΙ[1]","πι","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.5.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΧΟΥΑΥΞ[1]","χου αὔξ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.5.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΕΤ[1]","ετ'","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.5.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΕΠ[1]","ἔπ'","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.6.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΑΙ[2]","αι","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:3.1.6.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:3@ΝΟΣ[1]","νος","⏑"
